variant,split,phase,ce_loss,residual_norm_mean,used_columns,unique_support_sets
promoted_contextual_topk2,anchor,after_anchor_training,2.8547303676605225,4.432602882385254,20,44
promoted_contextual_topk2,anchor,after_transfer_training,1.9760266542434692,8.664920806884766,20,48
promoted_contextual_topk2,transfer,before_transfer_training,2.848416328430176,4.44053316116333,20,46
promoted_contextual_topk2,transfer,after_transfer_training,1.9605298042297363,8.66948127746582,20,51
rank_matched_contextual_topk1,anchor,after_anchor_training,2.8824024200439453,4.685309886932373,33,33
rank_matched_contextual_topk1,anchor,after_transfer_training,1.9953694343566895,8.79472541809082,33,33
rank_matched_contextual_topk1,transfer,before_transfer_training,2.9106802940368652,4.700902462005615,32,32
rank_matched_contextual_topk1,transfer,after_transfer_training,1.9887434244155884,8.810738563537598,32,32
random_fixed_topk2,anchor,after_anchor_training,3.4033308029174805,4.430663108825684,24,157
random_fixed_topk2,anchor,after_transfer_training,3.5044398307800293,6.148594856262207,24,157
random_fixed_topk2,transfer,before_transfer_training,4.078498363494873,4.356727600097656,24,173
random_fixed_topk2,transfer,after_transfer_training,3.4050323963165283,6.137052536010742,24,173
norm_matched_dense_active_rank,anchor,after_anchor_training,3.2468838691711426,4.432602882385254,,
norm_matched_dense_active_rank,anchor,after_transfer_training,2.7295665740966797,7.190127849578857,,
norm_matched_dense_active_rank,transfer,before_transfer_training,3.243962526321411,4.428090572357178,,
norm_matched_dense_active_rank,transfer,after_transfer_training,2.7205617427825928,7.2021660804748535,,
router_only_transfer_topk2,anchor,after_anchor_training,2.7775521278381348,4.4481682777404785,23,45
router_only_transfer_topk2,anchor,after_transfer_training,2.777552604675293,4.4397687911987305,23,46
router_only_transfer_topk2,transfer,before_transfer_training,2.785618543624878,4.440483093261719,23,47
router_only_transfer_topk2,transfer,after_transfer_training,2.785079002380371,4.441305160522461,23,47
value_only_transfer_topk2,anchor,after_anchor_training,2.8174328804016113,4.354106426239014,23,49
value_only_transfer_topk2,anchor,after_transfer_training,1.8834437131881714,8.612828254699707,23,49
value_only_transfer_topk2,transfer,before_transfer_training,2.7925217151641846,4.3563432693481445,23,50
value_only_transfer_topk2,transfer,after_transfer_training,1.832488775253296,8.615479469299316,23,50
