column,support_count,support_fraction,dead,value_norm,score_mean,score_std,score_max,score_mean_rank
0,30,0.05859375,False,4.736894607543945,-3.2292354106903076,12.046954154968262,36.218238830566406,8
1,59,0.115234375,False,4.251405239105225,-2.3515844345092773,12.07999324798584,43.08530044555664,3
2,45,0.087890625,False,3.876098871231079,-4.308104515075684,9.342816352844238,36.863460540771484,11
3,20,0.0390625,False,4.408522129058838,-3.411186456680298,9.48816967010498,32.65219497680664,9
4,27,0.052734375,False,4.54788064956665,-4.440572261810303,8.080066680908203,27.60560417175293,12
5,11,0.021484375,False,4.128285884857178,-6.588557243347168,8.058982849121094,36.03337478637695,19
6,22,0.04296875,False,4.384819030761719,-3.0688133239746094,8.887096405029297,33.20893478393555,7
7,20,0.0390625,False,4.2321062088012695,-3.704918384552002,8.67772388458252,33.02129364013672,10
8,11,0.021484375,False,4.617771625518799,-9.310426712036133,10.142218589782715,35.6461181640625,24
9,0,0.0,True,0.46456286311149597,-7.119476318359375,3.4372150897979736,-1.7744247913360596,20
10,4,0.0078125,False,3.973391532897949,-8.99232292175293,5.848451137542725,22.26604461669922,23
11,18,0.03515625,False,4.340860843658447,-7.447355270385742,9.94151782989502,29.801185607910156,21
12,0,0.0,True,0.39370498061180115,-5.770343780517578,3.090874671936035,3.759305715560913,16
13,27,0.052734375,False,4.479312419891357,-4.447822570800781,9.86320972442627,32.37641525268555,13
14,63,0.123046875,False,4.3190226554870605,0.6570408344268799,9.881794929504395,40.01150894165039,1
15,21,0.041015625,False,4.665078639984131,-2.688145160675049,9.818475723266602,38.5495491027832,4
16,17,0.033203125,False,4.353930950164795,-3.0521187782287598,9.290726661682129,32.467403411865234,6
17,0,0.0,True,0.5426884293556213,-7.564365386962891,3.3902153968811035,0.9600074291229248,22
18,30,0.05859375,False,4.759082317352295,-5.23741340637207,11.78014850616455,41.00130081176758,15
19,25,0.048828125,False,4.461086750030518,-5.042872428894043,13.43976879119873,47.44294738769531,14
20,0,0.0,True,0.0,-2.9367895126342773,1.8011674880981445,0.2901788651943207,5
21,4,0.0078125,False,4.499360084533691,-6.363872528076172,6.900292873382568,33.121620178222656,17
22,45,0.087890625,False,4.179028511047363,-0.2651747763156891,7.320312023162842,35.01275634765625,2
23,13,0.025390625,False,4.534931182861328,-6.407805919647217,7.922121524810791,25.732955932617188,18
