stratum,value,row_count,support_count,mean_pair_synergy,mean_abs_pair_synergy,mean_fixed_support_loss_delta,mean_fixed_support_logit_mse,mean_residual_norm
position_bin,even,1024,8,0.1871384745463729,0.25731587316840887,1.205800433875993,0.26435072907770535,4.114437643904239
position_bin,odd,992,8,0.1919055396030026,0.25411274332192635,1.156964134785437,0.2555897310376168,4.101003354114871
residual_gain_bin,high,672,8,0.18391533302409308,0.25248875752800987,0.5559233430595625,0.14432470802040356,4.176322131639435
residual_gain_bin,low,672,8,0.2027786182505744,0.27409534298238303,1.6340122971506346,0.33115347789689187,4.092559965948264
residual_gain_bin,mid,672,8,0.18175856840042842,0.2406350892214548,1.3553739818079131,0.30464109944711837,4.05459926348357
residual_norm_bin,high,456,8,0.16009195279656796,0.26304150621096295,0.8093244548429522,0.1665816492025271,4.388836680797109
residual_norm_bin,low,672,8,0.16897642151230857,0.23383936747199013,1.3401156685182027,0.30099634003515047,3.8780912267310277
residual_norm_bin,mid,888,8,0.22009685528170955,0.2685634163585869,1.253196379891387,0.27703759822625296,4.1373791034157215
token_class,common_target,1192,8,0.20160819460081575,0.2587676720331179,1.2246068102001344,0.24378682149186634,4.1210677253719945
token_class,rare_target,824,8,0.17194554036103407,0.25135950295670517,1.1198018789291382,0.2835512967798319,4.088673235432616
